movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
28583,52,21,AUDI 01,Hindi,,True,GOLD,,390,gold,2025-07-07T13:35:00,2025-07-07T16:53:00
28583,188,186,AUDI 04,Hindi,,True,,,391,,2025-07-07T06:45:00,2025-07-07T10:01:00
28583,123,123,AUDI 06,Hindi,,True,,,391,,2025-07-07T09:45:00,2025-07-07T13:01:00
28583,127,122,AUDI 01,Hindi,,True,,,391,,2025-07-07T12:50:00,2025-07-07T16:06:00
28583,234,224,SCREEN 2,Hindi,,False,,,150,,2025-07-07T07:05:00,2025-07-07T10:21:00
28583,234,228,SCREEN 2,Hindi,,False,,,150,,2025-07-07T16:30:00,2025-07-07T19:46:00
28583,206,179,SCREEN 2,Hindi,,False,,,231,,2025-07-07T13:30:00,2025-07-07T16:48:00
28583,205,183,SCREEN 4,Hindi,,False,LASER,,231,laser,2025-07-07T06:30:00,2025-07-07T09:48:00
28583,172,155,SCREEN 4,Hindi,,False,,,110,,2025-07-07T04:30:00,2025-07-07T07:44:00
28583,172,166,SCREEN 4,Hindi,,False,,,110,,2025-07-07T16:30:00,2025-07-07T19:46:00
28583,59,57,SCREEN 2,Hindi,ATMOS,False,INSIGNIA,,110,insignia,2025-07-07T17:00:00,2025-07-07T20:16:00
28583,159,147,SCREEN 3,Hindi,,False,LASER,,110,laser,2025-07-07T07:25:00,2025-07-07T10:43:00
28583,159,147,SCREEN 3,Hindi,,False,LASER,,110,laser,2025-07-07T13:20:00,2025-07-07T16:38:00
28583,197,179,AUDI 06,Hindi,,True,LASER,,531,laser,2025-07-07T04:30:00,2025-07-07T07:43:00
28583,183,152,AUDI 02,Hindi,,True,LASER,,531,laser,2025-07-07T07:30:00,2025-07-07T10:43:00
28583,197,171,AUDI 06,Hindi,,True,LASER,,531,laser,2025-07-07T13:25:00,2025-07-07T16:43:00
28583,183,164,AUDI 02,Hindi,,True,LASER,,531,laser,2025-07-07T16:45:00,2025-07-07T19:58:00
28583,216,177,SCREEN 1,Hindi,,True,,,510,,2025-07-07T04:40:00,2025-07-07T07:43:00
28583,205,172,SCREEN 2,Hindi,,True,,,510,,2025-07-07T10:15:00,2025-07-07T13:33:00
28583,259,185,SCREEN 3,Hindi,,True,,,510,,2025-07-07T16:30:00,2025-07-07T19:33:00
28583,172,125,AUDI 04,Hindi,,True,,,533,,2025-07-07T03:55:00,2025-07-07T07:13:00
28583,172,110,AUDI 04,Hindi,,True,,,533,,2025-07-07T07:25:00,2025-07-07T10:43:00
