movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,7508,134,105,AUDI09,,2025-08-16T16:45:00,2025-08-16T16:45:00,2D,105
172677,7508,134,108,AUDI09,,2025-08-16T03:00:00,2025-08-16T03:00:00,2D,108
172677,7508,302,286,AUDI02,,2025-08-16T01:00:00,2025-08-16T01:00:00,2D,286
172677,7508,138,121,AUDI10,,2025-08-16T16:50:00,2025-08-16T16:50:00,2D,121
172677,7508,302,171,AUDI02,,2025-08-16T11:45:00,2025-08-16T11:45:00,2D,171
172677,7508,302,198,AUDI02,,2025-08-16T08:10:00,2025-08-16T08:10:00,2D,198
172677,7508,302,209,AUDI02,,2025-08-16T15:20:00,2025-08-16T15:20:00,2D,209
172677,7508,302,226,AUDI02,,2025-08-16T04:35:00,2025-08-16T04:35:00,2D,226
172677,7508,143,129,AUDI05,,2025-08-16T01:30:00,2025-08-16T01:30:00,2D,129
172677,7508,143,97,AUDI05,,2025-08-16T15:50:00,2025-08-16T15:50:00,2D,97
172677,7508,143,91,AUDI05,,2025-08-16T12:15:00,2025-08-16T12:15:00,2D,91
172677,7508,143,76,AUDI05,,2025-08-16T08:40:00,2025-08-16T08:40:00,2D,76
172677,7508,143,90,AUDI05,,2025-08-16T05:05:00,2025-08-16T05:05:00,2D,90
172677,1011225,500,66,Srinivasa,,2025-08-16T04:00:00,2025-08-16T03:00:00,2D,66
172677,1011225,500,55,Srinivasa,,2025-08-16T07:10:00,2025-08-16T06:10:00,2D,55
172677,1011225,500,68,Srinivasa,,2025-08-16T13:30:00,2025-08-16T12:30:00,2D,68
172677,1049257,964,129,Vaibhav,,2025-08-16T02:30:00,2025-08-16T02:30:00,2D,129
172677,1049257,964,118,Vaibhav,,2025-08-16T05:30:00,2025-08-16T05:30:00,2D,118
172677,1049257,964,113,Vaibhav,,2025-08-16T16:30:00,2025-08-16T16:30:00,2D,113
172677,1036213,16,16,Screen 3,,2025-08-16T06:45:00,2025-08-16T07:10:00,2D,16
172677,1036213,16,16,Screen 3,,2025-08-16T03:30:00,2025-08-16T03:55:00,2D,16
172677,1036213,29,29,Screen 4,,2025-08-16T07:45:00,2025-08-16T08:10:00,2D,29
172677,1036213,16,16,Screen 3,,2025-08-16T13:15:00,2025-08-16T13:40:00,2D,16
172677,1036213,29,29,Screen 4,,2025-08-16T14:15:00,2025-08-16T14:40:00,2D,29
172677,1036213,29,29,Screen 4,,2025-08-16T17:25:00,2025-08-16T17:50:00,2D,29
172677,10940,350,195,Screen1,,2025-08-16T06:30:00,2025-08-16T06:00:00,2D,195
172677,10940,36,20,Screen7,,2025-08-16T12:30:00,2025-08-16T12:00:00,2D,20
172677,10940,36,19,Screen7,,2025-08-16T06:00:00,2025-08-16T05:30:00,2D,19
172677,10940,352,172,Screen4,,2025-08-16T13:45:00,2025-08-16T13:15:00,2D,172
172677,10940,36,16,Screen7,,2025-08-16T09:15:00,2025-08-16T08:45:00,2D,16
172677,10940,36,22,Screen7,,2025-08-16T15:45:00,2025-08-16T15:15:00,2D,22
172677,10940,352,244,Screen2,,2025-08-16T16:30:00,2025-08-16T16:00:00,2D,244
172677,10940,352,158,Screen3,,2025-08-16T10:15:00,2025-08-16T09:45:00,2D,158
172677,10940,350,258,Screen1,,2025-08-16T03:15:00,2025-08-16T02:45:00,2D,258
172677,925,206,75,SCREEN 2,,2025-08-16T17:00:00,2025-08-16T17:00:00,2D,75
172677,925,272,235,SCREEN 3,,2025-08-16T01:00:00,2025-08-16T01:00:00,2D,235
172677,925,185,151,SCREEN 4,,2025-08-16T02:00:00,2025-08-16T02:00:00,2D,151
172677,925,272,74,SCREEN 3,,2025-08-16T11:45:00,2025-08-16T11:45:00,2D,74
172677,925,185,30,SCREEN 4,,2025-08-16T12:10:00,2025-08-16T12:10:00,2D,30
172677,925,272,68,SCREEN 3,,2025-08-16T15:20:00,2025-08-16T15:20:00,2D,68
172677,925,185,58,SCREEN 4,,2025-08-16T15:50:00,2025-08-16T15:50:00,2D,58
172677,925,272,103,SCREEN 3,,2025-08-16T04:35:00,2025-08-16T04:35:00,2D,103
172677,925,185,56,SCREEN 4,,2025-08-16T05:50:00,2025-08-16T05:50:00,2D,56
